sentence,sentence_id,cue_span,scope_span,target
Receptor/Stat interaction is mediated by the src homology 2 (SH2) domain of the corresponding Stat protein.,9078381,NaN,NaN,0
"Prolactin activates Stat5, and interleukin-4 (IL-4) activates Stat6.",9199300,NaN,NaN,0
Dexamethasone was added 1 hour before TNFalpha stimulation in the dexamethasone group.,9344365,NaN,NaN,0
"To address this issue, we have investigated IL-12 expression in B cells during in vitro transformation with EBV.",9837745,NaN,NaN,0
"These data provide further information on the molecular events occurring in immune cells generated through in vivo and in vitro administration of IL-2, and further document that there is not a precise congruence between PBMC activated in vivo and in vitro by IL-2.",9756417/X1202.10.1,"[(187, 190)]","[187, 263]",1
"Therefore, IL-10 can directly inhibit STAT-dependent early response gene expression induced by both IFNalpha and IFNgamma in monocytes by suppressing the tyrosine phosphorylation of STAT1.",10029571,NaN,NaN,0
IL-2 responsiveness requires three distinct elements within the enhancer.,7738013,NaN,NaN,0
"Third, a coimmunoprecipitation assay showed that in HTLV-1-infected human T lymphocytes, Tax and TFIIA were associated.",8756622,NaN,NaN,0
BACKGROUND: The induction of vascular cell adhesion molecule-1 (VCAM-1) and E-selectin by tumor necrosis factor-alpha (TNF) is mediated by mobilization of the transcription factor nuclear factor-kappa B (NF-kappa B).,7534663,NaN,NaN,0
"We took advantage of our monoclonal model of germinal center B cell differentiation, IgM+ IgD+ CL-01 cells, to define the role of the I gamma 3 evolutionarily conserved sequence (ECS) in the germline transcriptional activation of the human C gamma 3 gene.",10228008,NaN,NaN,0
X-rays-induced secretion of cellular factor(s) that enhance(s) HIV-1 promoter transcription in various non-irradiated transfected cell lines.,9874515,NaN,NaN,0
"We have analyzed the functional domains of the minimal Thy-1 promoter and show that the dominant promoter elements consist of multiple binding sites for the transcription factor Sp1, an inverted CCAAT box, and sequences proximal to the transcription start site.",1672442,NaN,NaN,0
"Therefore, any event that enables T cells to become less responsive to IFN-gamma may potentially alter immune responsiveness to Ag.",8666783,NaN,NaN,0
"Mice deficient for the 55 kd tumor necrosis factor receptor are resistant to endotoxic shock, yet succumb to L. monocytogenes infection.",8387893,NaN,NaN,0
"Cloned, normal T lymphocytes show very little, if any, basal activity of the HIV enhancer and low nuclear expression of NF-kappa B, a potent transcriptional activator of the HIV enhancer.",2023633,NaN,NaN,0
"Oxidative stress, with reactive oxygen intermediate formation, may represent a common mechanism by which liver injury is induced by diverse etiologies.",7590666,NaN,NaN,0
"Previously, an inducible enhancer between nucleotides -299 and -228 that contains NF-kappa B and CArG motifs was identified.",7862168,NaN,NaN,0
Immunofluorescence studies on thymic populations of mice carrying transgenes in various combinations of these regulatory DNA elements revealed that thymocytes control the CD4 gene in a different manner than mature peripheral T lymphocytes.,9043959,NaN,NaN,0
"We show that in the human T lymphoblastic tumor cell line Molt4 c-myc mRNA and protein expression is down-regulated after exposure to dimethyl sulfoxide, to phorbol myristate acetate, or to the calcium ionophore A23187, which raises the intracellular calcium concentration.",2127692,NaN,NaN,0
"Comparison of these sequences to those required to mediate virus or lipopolysaccharide (LPS) induction of the gene reveal significant differences, and thus , the sequence requirements for PMA induction are distinct from those that mediate induction by virus or LPS.",2056282,NaN,NaN,0
"However, TG induced increases in IL-2R alpha protein as well as IL-2R alpha mRNA in Jurkat T cells in a dose-dependent manner.",7622191,NaN,NaN,0
"We exploited this ability of Hsp70 to deliver NF-kappaB, a key transcriptional regulator of inflammatory responses.",9889197,NaN,NaN,0
Proliferation of T cells was induced by immobilized anti-CD3 monoclonal antibody (mAb) in the presence or absence of an additional costimulatory signal delivered by anti-CD28 mAb.,1334806,NaN,NaN,0
"In all cell lines investigated, the NF-kappa B complexes induced following CD30 engagement were shown to contain p50 NF-kappa B1, p65 RelA, and possibly other transcription factors.",7589085,NaN,NaN,0
"When the homeodomain from HB24 was compared to known mammalian and Drosophila homeodomains it was found to be only moderately conserved, but when it was compared to a highly diverged Drosophila homeodomain, H2.0, it was found to be 80 % identical.",1676597,NaN,NaN,0
"By contrast, ICRF-193 only provoked a late activation (from hours 72 to 96) of the total enzyme.",9057086,NaN,NaN,0
"Similarly, in transfection experiments in which the selective kappa B binding sites were used to drive the expression of a chloramphenicol acetyltransferase reporter construct, the p65- and p50-selected motifs were activated only in the presence of p65 and p50/65 (a chimeric protein with the p50 DNA binding domain and p65 activation domain) expression vectors, respectively, and neither demonstrated a significant response to stimuli that induce NF-kappa B activity.",1406630/X168.10.1,"[(381, 388)]","[381, 467]",1
"CONCLUSIONS: Human ECs express PPARalpha, a potentially important regulator of atherogenesis through its transcriptional control of VCAM-1 gene expression.",10377075,NaN,NaN,0
"This phenomenon has been termed ""A/R tolerance.""",9915779,NaN,NaN,0
"Studies of the actions of platelet-activating factor have centered mainly around neutrophils, monocytes, and platelets.",1847170,NaN,NaN,0
"The human monoblastic cell line, U937 was differentiated to macrophages by the treatment with either phorbol 12-myristate 13-acetate (PMA), retinoic acid (RA), or vitamin D3 (VitD3).",10202178,NaN,NaN,0
T-cell activation also correlates with the induction of the factor NF-kappa B which binds to two adjacent sites in the HIV-1 long terminal repeat.,2017258,NaN,NaN,0
"Only the activities for NF-AT and AP-1 sites require two signals for optimal induction, i.e., PMA plus either lectin or antibody to the CD3 or CD28 surface molecules.",1655897,NaN,NaN,0
The inability to detect EBV in the lower epithelial layers of oral hairy leukoplakia raises questions concerning the nature of EBV latency and persistence in stratified squamous epithelium.,1851858,NaN,NaN,0
"However, the inositol phosphate response was stronger for 64.1 than for OKT3.",8039243,NaN,NaN,0
Wild-type Chinese hamster ovary (CHO)-K1 cells can be activated by endotoxin to release arachidonate following transfection with human CD14 (CHO/CD14).,7520914,NaN,NaN,0
"For example, in experiments involving proviral clones with LTRs containing one or two NF-kappa B elements ( and no Sp1 binding sites ), a hierarchy of cellular permissivity to virus replication (peripheral blood lymphocytes = MT4 greater than H9 greater than CEM greater than Jurkat) was observed.",2072454/X47.4.1,"[(112, 114)]","[112, 132]",1
An amino-terminal fragment of OCA-B binds the octamer site in the absence of a POU domain with the same sequence specificity.,8769650,NaN,NaN,0
We were able to delineate an 81 bp EBNA2 responsive region between -258 and -177 relative to the TP1 RNA start site.,8381349,NaN,NaN,0
"Although endothelial leukocyte adhesion molecule (ELAM) mRNA synthesis can be regulated by NF kappa B, ELAM was not expressed and ELAM mRNA was only slightly elevated in response to MM-LDL.",8392092/X284.9.1,"[(112, 115)]","[103, 125]",1
"We have now investigated the mechanism of action of a new analogue of UP, PNU156804, which shows a more favorable activity profile than UP in mice.",10358154,NaN,NaN,0
The effects of TNF-alpha on gene expression were examined by transient expression assays using reporter chloramphenicol acetyltransferase plasmids linked to regulatory elements from the HIV long terminal repeat (LTR) and the beta interferon promoter.,2204723,NaN,NaN,0
"Freshly isolated T cells from lupus patients, rheumatoid arthritis (RA) patients, and normal individuals were activated physiologically via the TCR with anti-CD3 and anti-CD28 Abs to assess proximal membrane signaling, and with PMA and a calcium ionophore (A23187) to bypass membrane-mediated signaling events.",10415075,NaN,NaN,0
"This study demonstrates that GC act as a primary inducer of sialoadhesin expression on rat macrophages, and that the response can be enhanced by IFN-beta, T cell-derived cytokines, or LPS.",8816424,NaN,NaN,0
These results are the first to suggest that surfactant's suppressive effects on inflammatory cytokine production may involve transcriptional regulation through inhibition of NF-kappa B activation.,8600942,NaN,NaN,0
"We demonstrate here, however, that NFAT can be activated, and significant levels of IL-2 can be produced by the CsA-resistant CD28-signaling pathway.",8631809,NaN,NaN,0
Tolerance to lipopolysaccharide involves mobilization of nuclear factor kappa B with predominance of p50 homodimers.,7516328,NaN,NaN,0
"Upon activation of Jurkat T cells and primary murine thymocytes with phorbol esters and ionomycin, BOB.1/OBF.1 expression and transactivation function were induced.",9211847,NaN,NaN,0
Inhibition of HIV-1 replication and NF-kappa B activity by cysteine and cysteine derivatives.,1907460,NaN,NaN,0
"Analysis of Tax mutants showed that two mutants, IEXC29S and IEXL320G, were unable to significantly transactivate the c-sis/PDGF-B promoter.",9341193/X1108.8.1,"[(76, 82)]","[36, 139]",1
"In addition, T cell proliferation was completely resistant to the actions of the immunosuppressant cyclosporin A (CsA).",10438913,NaN,NaN,0
We could also show Pu box-dependent transactivation of a reporter gene in transient transfections in these cell lines.,7670114,NaN,NaN,0
"Although sensitivity to M-CSF can be modulated by regulation of receptor expression and function, M-CSF responsiveness is largely determined at a postreceptor level.",1883525,NaN,NaN,0
"However, no loss of DNA binding activity is observed, presumably reflecting the unique C-terminal domain that is distinct from that present in NF-kappa B p65.",1493333/X208.11.2,"[(9, 11)]","[9, 52]",1
Glucocorticoid receptor in patients with lupus nephritis: relationship between receptor levels in mononuclear leukocytes and effect of glucocorticoid therapy.,1404124,NaN,NaN,0
GDSP also completely inhibited superoxide formation in the human neutrophils stimulated by N-formyl-methionine-leucine-phenyl-alanine (fMLP) or 12-O-tetradecanoylphorbol-13-acetate (TPA).,10206480,NaN,NaN,0
"Therefore, costimulation by alpha 4 beta 1 ligands was not due to stabilization of the interaction of the cells with its substrate.",8757316/X946.9.1,"[(55, 58)]","[55, 130]",1
"The human G0/G1 switch gene, G0S2, has potential NFAT-binding sites in the 5' flank and encodes a small basic potential phosphoprotein of unknown function.",9428793,NaN,NaN,0
Increased interleukin 2 transcription in murine lymphocytes by ciprofloxacin.,8014029,NaN,NaN,0
Positive regulatory element I (PRE-I) is a strong enhancer element essential for expression of the human IL-4 gene.,7594540,NaN,NaN,0
"LMP1 contains two domains that activate the transcription factor NF-kappaB, one through interactions with TRAF proteins and the other with the TRADD protein.",9747720,NaN,NaN,0
"Treatment of both U-937 and TUR cells with okadaic acid, an inhibitor of serine/threonine protein phosphatases 1 and 2A, was associated with induction of monocytic differentiation and EGR-1 transcription through the 5'-most CArG element.",8018558,NaN,NaN,0
"Taken together, these results demonstrate that tolerance to LPS is determined by post-receptor mechanisms that involve an altered composition of the NF-kappa B complex.",7516328,NaN,NaN,0
the cases of deficiency-heat syndrome (DHS) had a higher concentration of plasma cortisol than the normal control (P less than 0.05) and a slightly higher content of GCR in leukocytes.,1813169,NaN,NaN,0
"After two days of treatment with 5 x 10(-8) M dexamethasone, CEM C7 cells showed a two-fold increase in suppressor activity compared to untreated cells.",8505847,NaN,NaN,0
Interleukin-2 promoter activity in Epstein-Barr virus-transformed B lymphocytes is controlled by nuclear factor-chi B.,7664781,NaN,NaN,0
The retinoblastoma gene product negatively regulates transcriptional activation mediated by the human cytomegalovirus IE2 protein.,7747417,NaN,NaN,0
Six patients were reinvestigated after a significant weight gain.,1889142,NaN,NaN,0
This result indicates the involvement of either a B-cell-specific cofactor or a specific modification of a cofactor or the Oct2 protein in Oct2-mediated enhancer activation.,1620119,NaN,NaN,0
"Fas/FasL interaction initiates cell death in many other systems, and its dysregulation is a mechanism by which several pathologic conditions arise.",10229231,NaN,NaN,0
"Generation of tumor necrosis factor-alpha, interleukin 1-beta, granulocyte-macrophage colony-stimulating factor and interleukin-6 from 10(-5) M Azeptin-treated PBL and human monocytes (HM) was decreased to approximately 1/3 to 2/3 of the control levels.",9074948,NaN,NaN,0
"Taken together, these data indicated that inhibiting nuclear translocation of c-Rel/p65 heterodimers prevented LPS induction of TF gene transcription in monocytic cells.",7929355,NaN,NaN,0
The mechanisms that control the initial induction of these signals upon infection are poorly understood.,9237759,NaN,NaN,0
"We recently reported that human alveolar macrophages do not express AP-1 DNA binding activity (Monick, M. M., Carter, A. B., Gudmundsson, G., Geist, L. J., and Hunninghake, G. W. (1998) Am. J. Physiol. 275, L389-L397).",10364260/X603.3.1,"[(56, 59)]","[56, 93]",1
"B-cell immortalization by Epstein-Barr virus (EBV) is dependent on permanent control of the cellular processes which normally regulate cell division and apoptosis, functions possessed by p53 in a number of normal cell types.",8676521,NaN,NaN,0
"Gel mobility shift and immunoprecipitation analyses revealed that in addition to activating STAT3 (signal transducer and activator of transcription-3) and STAT5, IL-2 induced tyrosine and serine phosphorylation of STAT1 alpha, which formed IFN-gamma-activated sequence-binding complexes by itself and with STAT3.",8683106,NaN,NaN,0
"Whereas c-Fos/c-Jun heterodimers do not exist in B cells, they form and bind to the X2-box in class II nonexpressing cells.",1700011/X652.10.1,"[(36, 39)]","[36, 56]",1
"Thus, decreased proteasome-mediated degradation may be central to immune dysfunction that accompanies aging.",10087185,NaN,NaN,0
"We found that in T cells, anti-CD3-induced c-Rel expression was blocked by PF, whereas the induction of other NF-kappaB family members was not significantly affected.",9047238,NaN,NaN,0
The binding of the A6H mAb induced a costimulatory signal in anti-CD3 activated T cells.,9135552,NaN,NaN,0
The first (-445/-366) is a positive element active in both basophils and T cells.,8419337,NaN,NaN,0
Nuclear factor kappa B (NF-kappa B) is a pleiotropic transcription factor which is involved in the transcriptional regulation of several specific genes.,8184011,NaN,NaN,0
"The major putative downstream site for E2F, located in the first exon, serves as a target for E2F-1/DP1 complex binding in vitro.",7534293,NaN,NaN,0
The macrophage colony-stimulating factor (M-CSF) is required for the growth and differentiation of mononuclear phagocytes.,1712226,NaN,NaN,0
"Unexpected and coordinated expression of Spi-1, Fli-1, and megakaryocytic genes in four Epo-dependent cell lines established from transgenic mice displaying erythroid-specific expression of a thermosensitive SV40 T antigen.",10210321,NaN,NaN,0
Inducible binding to the c-fos serum response element during T cell activation is regulated by a phosphotyrosine-containing protein.,7523507,NaN,NaN,0
its subcellular localization and transcriptional function are not affected by stimulation of the COS cells with ionomycin and phorbol 12-myristate 13-acetate.,8668213/X351.9.1,"[(62, 65)]","[0, 157]",1
"Collectively, these results therefore suggest that the exclusive Tax-induced expression of VCAM-1 on T cells may represent a pivotal event in the progression of HTLV-1-associated diseases.",9343210,NaN,NaN,0
High-level NF-kappaB activation also appears to be a critical component of long-term outgrowth.,9356494,NaN,NaN,0
"In addition, these data suggest that transcriptional activation of RE/AP is not mediated by NFAT, because activation of a NFAT reporter is not affected by the addition of CTLA4Ig.",9862666/X1246.9.1,"[(139, 142)]","[106, 178]",1
"Like other enhancers, the Ig heavy chain enhancer contains several short sequence motifs that bind specific transcription factors.",2105887,NaN,NaN,0
"Contrary to the idea that protein kinase C is involved in TCR-mediated activation of NF-kappaB, high doses of staurosporine did not interfere with activation of NF-kappaB by PHA, while the same dose of staurosporine completely blocked activation by PMA.",8955173/X474.7.1,"[(128, 131)]","[128, 177]",1
"For all other arginine mutations, no differences in affinity were detectable.",8816450/X408.10.1,"[(34, 36)]","[34, 76]",1
"Furthermore, studies carried out using H7, a protein kinase A/protein kinase C inhibitor, blocked c-fos induction, whereas no effect was observed with bisindolylmaleimide, a specific protein kinase C inhibitor.",9187264/X1038.6.1,"[(123, 125)]","[123, 209]",1
"Furthermore, our results suggest that events linked to T-cell activation, in addition to NF-kappa B translocation per se, induce functional interactions of the NF-kappa B complex with the HIV enhancer.",2146676,NaN,NaN,0
Changes in triiodothyronine (T3) mononuclear leukocyte receptor kinetics after T3 administration and multiple cold-air exposures.,7894340,NaN,NaN,0
Circularization of the EBV genome was not detected.,7747440/X774.5.1,"[(38, 41)]","[0, 50]",1
"Cross-linking of this lymphocyte-specific protein, designated TACI (transmembrane activator and CAML-interactor), on the surface of transfected Jurkat cells with TACI-specific antibodies led to activation of the transcription factors NF-AT, AP-1, and NFkappaB.",9311921,NaN,NaN,0
"The levels of GATA-1, Epo-R and globin mRNA expressed were not affected by a 24-hour incubation of either cell line with Epo, GM-CSF or interleukin-3 (IL-3).(ABSTRACT TRUNCATED AT 400 WORDS)",8513868/X274.14.2,"[(99, 105)]","[99, 115]",1
Aclacinomycin (ACLA) and doxorubicin (DOX) were used at subtoxic concentrations to induce erythroid differentiation in the human leukemic cell line K562.,8853898,NaN,NaN,0
"Genomic sequence upstream of the Fc gamma RIC gene was cloned and subjected to primer extension analysis, which demonstrated a single transcription initiation site without a TATA box.",7565811/X727.6.1,"[(164, 171)]","[164, 182]",1
"BOB.1/OBF.1 was phosphorylated at Ser184 both in vivo and in vitro, and this modification was required for inducible activation.",9211847,NaN,NaN,0
ADT (0.1 mM) also inhibited H2O2 induced activation of the transcription factor in the peroxide sensitive human Wurzburg T-cells.,8573121,NaN,NaN,0
"CD40, but not lipopolysaccharide and anti-IgM stimulation of primary B lymphocytes, leads to a persistent nuclear accumulation of RelB.",8943389/X468.1.1,"[(10, 13)]","[10, 82]",1
Base-pair substitutions in the TF site indicated that the presence of a cytosine at position 1 precluded binding of NF-kappa B.,8196620,NaN,NaN,0
Calcium dependent activation of the NF-AT transcription factor by p59fyn.,8500615,NaN,NaN,0
"The leukocyte-specific, cytoskeleton-binding pp52 (LSP-1, WP-34) protein is widely expressed in multiple leukocyte lineages, including B and T lymphocytes, granulocytes, and macrophages.",9257843,NaN,NaN,0
Cotransfection of CMV IE genes and IL-6 chloramphenicol acetyl transferase (CAT) or IL-6 luciferase constructs were used to study IL-6 promoter activity.,9154298,NaN,NaN,0
Lymphocyte activation results in the upregulation of Fas expression and the acquisition of sensitivity to FasL-mediated apoptosis.,10022897,NaN,NaN,0
"To determine the effects on transcriptional regulation, U937 cells were transfected with a plasmid containing the HIV-1 enhancer (bearing two NF-kappa B sites) coupled to a chloramphenicol acetyltransferase (CAT) reporter.",9686612,NaN,NaN,0
"Our studies demonstrate that incubation of human T cells with low concentrations (approximately 1-5 nM) of calyculin A or okadaic acid, potent inhibitors of protein phosphatase type 1 (PP-1) and type 2A (PP-2A), induces the phosphorylation of I kappa B alpha even in the absence of any cellular stimulus.",7629157/X744.4.1,"[(271, 278)]","[271, 303]",1
The results from 9 healthy volunteers (average GR concentration 7131 ± 1256 sites/cell) correlated excellently with those obtained by the Scatchard analysis.,1421207,NaN,NaN,0
"In addition to increasing our understanding of the molecular pathways that regulate T cell development and function, these results have suggested novel targets for genetic and pharmacological manipulation of T cell immunity.",10358756,NaN,NaN,0
"However, V3-BH10 enhanced IL-2-induced mRNA expression of c-fos but not c-myc or junB.",9007200/X958.9.1,"[(68, 71)]","[68, 85]",1
"In adhering cells, pre-treatment with cytochalasin D suppresses tyrosine phosphorylation of FAK and paxillin but not of Syk, while IL-1 beta message induction is unaffected.",7541794/X718.9.1,"[(113, 116)]","[113, 123]",1
Expression of CD30 by these cells is induced by CD40L but is inhibited by B cell receptor coengagement and/or exposure to IL-6 and IL-12.,9729045,NaN,NaN,0
"The predicted amino acid sequence of the amino-terminal portion of Sp140 was similar to Sp100, a previously identified NB protein.",8910577,NaN,NaN,0
DNase I footprinting and sequence analysis revealed the existence of multiple AP2 and Sp1 binding sites in the 5'-untranslated and proximal coding regions.,7706273,NaN,NaN,0
These syncytia lack activated cells as determined by an absence of staining for Ki-67 cell cycle antigen.,7479915/X691.5.1,"[(56, 63)]","[56, 104]",1
It is surprising that the faster-migrating complex was composed also of p50 and p65.,7931077,NaN,NaN,0
"These are prominent enzymes in the endocytic pathway through which soluble protein Ag enter APC, and resistant segments in Ag may , therefore, be expected to contain more T-cell determinants than susceptible segments.",1718025,NaN,NaN,0
Primer extension and ribonuclease protection analyses indicate a single major transcriptional start site.,7706273,NaN,NaN,0
The EGR1 binding motif was shown to be necessary for stimulus-induced expression of a CD44 promoter-chloramphenicol acetyltransferase reporter construct in nontransformed B lymphocytes and was required for transactivation by an EGR1 expression vector in a B-cell line.,8628295,NaN,NaN,0
Partial cortisol receptor resistance might be less rare than previously thought.,1309833,NaN,NaN,0
"Transcriptional factors of the NFAT family play an important role in regulating the expression of several cytokine genes during the immune response, such as the genes for interleukin 2 (IL-2) and IL-4, among others.",9032280,NaN,NaN,0
Inhibition of NF-AT signal transduction events by a dominant-negative form of calcineurin.,8561779,NaN,NaN,0
"Peripheral blood mononuclear cells (pbmc) and bone marrow cells of 26 patients were examined for c-fos, c-myc, p53 and the hybrid bcr/abl mRNA levels.",9384661,NaN,NaN,0
"Fourth, extensive purification by several cycles of TRE-DNA affinity chromatography resulted in the 32, 36 to 42 and 110 kD proteins and to less extent the 50 kD factor.",2314899,NaN,NaN,0
Pregnancy-induced hypertension (PIH) is a frequent cause of maternal and neonatal morbidity and mortality.,8386933,NaN,NaN,0
One hundred milligram of hydrocortisone was injected intravenously into 4 normal subjects.,10487715,NaN,NaN,0
This study characterized molecular events involved in CD28 costimulation of IL-2 production in LP mononuclear cells (LPMC).,10352279,NaN,NaN,0
"We have previously shown that prolonged treatment of the untransformed T cell clone Ar-5 with phorbol esters results in downmodulation of the alpha and beta isozymes of PKC, and abrogates induction of IL-2 mRNA and protein.",1740667,NaN,NaN,0
The mechanisms by which beta-catenin undergoes this shift in location and participates in activation of gene transcription are unknown.,10330189,NaN,NaN,0
"The effects of TGF-beta on two transcriptional regulatory factors, Oct-2 and nuclear factor (NF) kappa B, known to be important in Ig gene transcription were examined.",1903417,NaN,NaN,0
"In addition, both SCL and GATA-1 undergo coordinate modulation during chemically induced erythroid differentiation of mouse erythroleukemia cells and are down-modulated during myeloid differentiation of human K562 cells, thus implying a role for SCL in erythroid differentiation events.",1453013,NaN,NaN,0
Tax-expressing cell lines produce LT biologic activity.,7505113,NaN,NaN,0
Comparison of a nearly full-length cDNA sequence with the corresponding genomic sequence reveals one small intron and an open reading frame in the second exon.,1930693,NaN,NaN,0
Characterization of a new isoform of the NFAT (nuclear factor of activated T cells) gene family member NFATc [published erratum appears in J Biol Chem 1996 Dec 27;271 ( 52 ):33705],8702849,NaN,NaN,0
The modified oligonucleotides accumulated in cells more effectively than standard ds oligonucleotides and modulated gene expression in a specific manner.,2237444,NaN,NaN,0
This HIV-mediated mechanism results in a self-perpetuating loop of NF-kappa B production.,1502202,NaN,NaN,0
The findings indicate that MNDA expression is regulated by mechanisms similar to other myelomonocytic cell specific genes and genes up-regulated by interferon alpha.,8809111,NaN,NaN,0
"In addition to the already identified NIP repressor site, evidence is presented for a second repressor region that restricts promoter activity in fibroblasts.",8662845,NaN,NaN,0
"To further understand the molecular and nuclear basis for this synergism, we have explored the induction of DNA-binding proteins in highly purified normal human T cells signaled via the CD3 and/or CD2 proteins.",8098881,NaN,NaN,0
Transient overexpression of inactive mutants of either Raf-1 or JNK1 showed that both pathways were involved in kappa B-dependent IL-6 promoter activity.,10202034,NaN,NaN,0
"There is a single methionine codon-initiated open reading frame of 1,458 nt in frame with a homeobox and a CAX repeat, and the open reading frame is predicted to encode a protein of 51,659 daltons.",1676597,NaN,NaN,0
"After this event, we observed a rise in intracellular Ca2+ concentration, corresponding to an influx.",7506531,NaN,NaN,0
"This transcription factor is activated via the selective phosphorylation, ubiquination and degradation of its inhibitor protein I-kB thereby allowing translocation of NF-kappa B into the nucleus where it upregulates the transcription of a variety of adhesion molecules (e.g. ICAM-1, VCAM-1), cytokines (TNF, IL-1, IL-6) and enzymes (iNOS).",9095577,NaN,NaN,0
"Transient transfections using reporter constructs with multiples of transcription factor binding sites from the IL-2 promoter [distal nuclear factor (NF)-AT, proximal NF-AT, AP-1/Octamer (UPS) or NF-chi B (TCEd) sites] were performed.",7664781,NaN,NaN,0
"Moreover, cell lines derived from tumours of patients with a disease-free survival of more than 24 months (24-58 months) express the NM23 gene at higher levels than cell lines obtained from melanomas of patients with a disease-free survival of less than 24 months (6-15 months).",7919963,NaN,NaN,0
"It is concluded that topoisomerase II inhibitors may induce the differentiation of promonocytic cells, independently of their capacity to cause DNA strand breaks.",9057086,NaN,NaN,0
"The glucocorticoid-induced reduction of IL-12 production was antagonized by RU 486, a glucocorticoid-receptor antagonist, suggesting that it was mediated by the glucocorticoid receptor.",8902882,NaN,NaN,0
This element has no activity in T cells of the Jurkat line.,7892566/X809.4.1,"[(17, 19)]","[17, 58]",1
Evidence for the involvement of Janus kinase 3 and interleukin-4 Stat.,7635985,NaN,NaN,0
A number of recent studies have described interactions between transcription factors in lymphocytes that provide new insights into mechanisms regulating gene expression.,8725939,NaN,NaN,0
These studies indicate that HIV-1 infection of myelomonoblastic cells may select for a more mature monocytic phenotype and that unique subunit associations of NF-kappa B DNA binding proteins may contribute to differential NF-kappa B-mediated gene expression.,1740663,NaN,NaN,0
"There was no detectable binding of in vitro translated Jun/Fos heterodimer (AP-1) to the NF-AT sequence, and the NF-AT sequence was unable to inhibit the binding of Jun/Fos to the AP-1 sequence.",8468470/X238.7.2,"[(10, 12)]","[10, 103]",1
"In Jurkat T cells, the ZIP site serves as an activator for IL-2 gene expression, and a combination of ZIP and NFAT binding sites is required for maximal IL-2 promoter activity.",7673240,NaN,NaN,0
We have examined the role of CD28 in modulating the 'naive' neonatal T cell response to anti-CD2-mediated activation.,7554389,NaN,NaN,0
"As evidenced by electro mobility shift assay (EMSA) and the use of a NF-kappa B prototypic probe, these drugs probably exert their inhibitory effects by interference with the nuclear translocation of NF-kappa B/c-Rel proteins.",8972019,NaN,NaN,0
"Chromosomal translocations involving the genes encoding the alpha and beta subunits of the Pebp2/Cbf transcription factor have been associated with human acute myeloid leukemia and the preleukemic condition, myelodysplasia.",9751756,NaN,NaN,0
